"Please Note That This Is A Working Document And Subject To Change. Approved courses may not guarantee eligibility for enrollment- this ultimately will be determined by schools/ sites.
",,,,,,,,,
This sheet is a list of all courses that have been approved as counting towards particular degree requirements. It will continue to expand as more courses are evaluated and approved.,,,,,,,,,
"If you would like to check on a course that is not yet on the sheet, please email your advisor with the course number, name, and what degree requirement(s) you wish to count it for.",,,,,,,,,
Cannot find a course? Submit the form below for a course evaluation. https://shanghai.nyu.edu/advising/academic-procedures/course-evaluation,,,,,,,,,
,,,,,,,,,
Course Number,Course Title,Credit,Major/Minor,Core,(GN) Minor,Note,Date Added,Reg Office,
"	
ARTS-UG 1652,Creating a Magazine: From Inspiration to Prototype,4,"IMA Elective, IMB: IM Elective",,,Christian and Eric have approved it. 11/08/2019,,11/13/2019,
BIOL-GA 1001 ,Bio Core I: Molecules & Cells,4,Biology Elective,,,,8/17/2016,8/22/2016,
BIOL-GA 1004,Environmental Health,4,Biology Major Elective,,,,12/4/2017,12/6/2017,
BIOL-GA 1006,Toxicology,4,Biology Major Elective,,,,12/5/2017,12/5/2017,
BIOL-GA 1007,Programming for Biologists,4,Biology Major Elective,,,,12/5/2017,12/5/2017,
BIOL-GA 1011,Advanced Immunology: Gastrointestinal Immunology,4,Biology Elective,,,,10/30/2015,11/6/2015,
BIOL-GA 1023,Hot Topics Microbiology & Infectious Diseases,4,Biology Elective,,,,10/30/2015,11/6/2015,
BIOL-GA 1031,Spc Topics in Physiology Metabolic Disorders ,4,Biology Major Elective,,,,12/5/2017,12/5/2017,
BIOL-GA 1045,Protein Biochemistry,4,Biology Major Elective,,,,12/5/2017,12/5/2017,
BIOL-GA 1051 ,Cell Biology: The Nucleus & Beyond,4,Biology Major Elective,,,,3/28/2017,3/30/2017,
BIOL-GA 1080,Viral Diseases,4,Biology Major Elective,,,,12/5/2017,12/5/2017,
BIOL-GA 1127 ,Bioinformatics & Genomes,4,Biology Major Elective,,,,3/28/2017,3/30/2017,
BIOL-GA 1130,Applied Genomics: Introduction to Bioinformatics and Network Modeling,4,Biology Major Elective,,,,10/25/2016,11/3/2016,
BIOL-GA 1131 ,Biophysical Modeling of Cells & Populations,4,Biology Major Elective,,,,3/28/2017,3/30/2017,
BIOL-GA 1501 ,Math in Medicine/Biology,4,Honors Mathematics Major Science Core,,,,8/19/2016,8/19/2016,
BIOL-UA 103 ,Bioinformatics in Medicine and Biology,4,Biology Elective,,,,4/7/2016,4/8/2016,
BIOL-UA 103 ,Bioinformatics in Medicine and Biology,4,Data Science major Concentration in Genomics course,,,,3/30/2018,4/2/2018,
BIOL-UA 12,Principles of Biology II,4,Biology Major*,,,count as BIOL-SHU 250 Organismal Systems for Class of 2017.,10/17/2017,10/18/2017,
BIOL-UA 124,Fundamentals of Bioinformatics,4,Biology Major Elective,,,,10/25/2016,11/3/2016,
BIOL-UA 130,Biological Chemistry: Genomes to Molecular Machines,4,Biology Elective,,,,10/30/2015,11/6/2015,
BIOL-UA 140,Where the City Meets the Sea,4,Biology Elective (till Fall 2020),Experimental Discovery in the Natural World,,Equivalent to CCEX-SHU 116 Where the City Meets the Sea,10/30/2015,11/6/2015,
BIOL-UA 16,\,4,Biology Major Elective,,,,12/5/2017,12/5/2017,
BIOL-UA 16 ,Ecological Field Methods,4,Biology major elective,,,,4/6/2022,already there,
BIOL-UA 201,Cellular & Molecular Neurobiology,4,Biology Elective,,,Equivalent to NEUR-SHU 301 Cellular and Molecular Neural Science,8/12/2016,8/15/2016,
BIOL-UA 201,Cellular & Molecular Neurobiology,4,Neural Science Major,,,Equivalent to NEUR-SHU 301 Cellular and Molecular Neural Science,8/12/2016,8/15/2016,
BIOL-UA 202,Behavioral and Integrative Neuroscience,4,Neural Science Major,,,count as NEUR-SHU 251 Behavioral and Integrative Neuroscience,8/12/2016,8/15/2016,
BIOL-UA 202/NEURL-UA 220/PSYCH-UA 52,Behavioral & Integrative Neuroscience,4,Biology Major Elective,,,,11/2/2017,11/9/2017,
BIOL-UA 21 ,Molecular and Cell Biology I,4,Biology Elective,,,,10/30/2015,no need to add,
BIOL-UA 22,Molecular and Cell Biology II ,4,Biology Major,,,,2/4/2016,2/4/2016,
BIOL-UA 23 ,Vertebrate Anatomy,4,Biology Elective,,,,2/18/2016,2/19/2016,
BIOL-UA 25  ,Animal Physiology ,4,Biology Major Elective,,,,12/5/2017,12/5/2017,
BIOL-UA 255,Math and Bio. ,4,Biology Major Elective,,,,12/5/2017,12/5/2017,
BIOL-UA 256/MATH-UA 256/BIOL-GA 1502,COMPUTERS IN MEDICINE AND BIOLOGY,4,Math major elective/Honors Math major elective,,,,updated 1/9/2018,1/16/2018,
BIOL-UA 256/MATH-UA 256/BIOL-GA 1502,Computers in Medicine and Biology,4,Biology Major Elective,,,,updated 1/9/2018,1/16/2018,
BIOL-UA 26,Developmental Biology,4,Neural Science Elective,,,,11/15/2015,11/17/2015,
BIOL-UA 26 ,Developmental Biology,4,Biology Elective,,,count as BIOL-SHU 26 Developmental Biology,10/30/2015,11/6/2015,
BIOL-UA 27 ,Experimental Physiology,4,Biology Elective,,,,10/30/2015,11/6/2015,
BIOL-UA 3,Human Reproduction & Development ,4,,"Science, Technology, and Society",,,3/1/2016,3/1/2016,
BIOL-UA 30,Genetics,4,Neural Science Elective,,,,11/15/2015,11/17/2015,
BIOL-UA 30 ,Genetics,4,Biology Elective,,,count as BIOL-SHU 30 Genetics,10/30/2015,11/6/2015,
BIOL-UA 31 ,ATB: Genetics ,4,Biology Major Elective,,,,12/5/2017,12/5/2017,
BIOL-UA 32 ,Gene Structure and Function,4,Biology Major Elective,,,,,already there,
BIOL-UA 327,NY Underground,4,Biology elective,,,Count as Biology Major Elective,3/31/2022,4/19/2022,
BIOL-UA 37,Applied Cell Biology,4,Biology Elective,,,count as BIOL-SHU 37 Applied Cell Biology,10/30/2015,11/6/2015,
BIOL-UA 37,Applied Cell Biology,4,Neural Science Elective,,,,11/15/2015,11/17/2015,
BIOL-UA 42,Biostatistics,4,Neural Science Major,,,,11/15/2015,11/17/2015,
BIOL-UA 42 ,Biostatistics,4,Biology Major,,,count as BIOL-SHU 42 Biostatistics,10/30/2015,11/6/2015,
BIOL-UA 44 ,Microbiology and Microbial Genomics,4,Biology Elective,,,count as BIOL-SHU 44 Microbiology and Microbial Genomics,10/30/2015,11/6/2015,
BIOL-UA 45,Biostatistics and Human Genetics,4,Neural Science Major,,,Approved upper-level Biology course,2/12/2019,3/19/2019,
BIOL-UA 50 ,Immunology,4,Biology Elective,,,count as BIOL-SHU 50 Immunology,10/30/2015,11/6/2015,
